masse_A
t,x,y
2.391666667E0,8.454231811E-1,-7.200535335E-1
2.400000000E0,8.449856383E-1,-7.211001575E-1
2.408333333E0,8.452715760E-1,-7.196957219E-1
2.416666667E0,8.449889025E-1,-7.212717606E-1
2.425000000E0,8.453212849E-1,-7.195531925E-1
2.433333333E0,8.449927564E-1,-7.213623112E-1
2.441666667E0,8.453451497E-1,-7.194991289E-1
2.450000000E0,8.449982488E-1,-7.214026758E-1
2.458333333E0,8.453598480E-1,-7.194796199E-1
2.466666667E0,8.448784201E-1,-7.212153382E-1
2.475000000E0,8.451910622E-1,-7.197889743E-1
2.483333333E0,8.448881153E-1,-7.213383002E-1
2.491666667E0,8.446848234E-1,-7.202234757E-1
2.500000000E0,8.446393498E-1,-7.210937119E-1
2.508333333E0,8.448551767E-1,-7.199303114E-1
2.516666667E0,8.446778824E-1,-7.212128229E-1
2.525000000E0,8.443773783E-1,-7.205001505E-1
2.533333333E0,8.444182458E-1,-7.206010270E-1
2.541666667E0,8.443649005E-1,-7.206945251E-1
2.550000000E0,8.444792647E-1,-7.208484478E-1
2.558333333E0,8.444130050E-1,-7.206175275E-1
2.566666667E0,8.444219160E-1,-7.208291284E-1
2.575000000E0,8.440291029E-1,-7.207745527E-1
2.583333333E0,8.443710120E-1,-7.201219690E-1
2.591666667E0,8.438541372E-1,-7.211861702E-1
2.600000000E0,8.442598853E-1,-7.197782657E-1
2.608333333E0,8.438015784E-1,-7.213226427E-1
2.616666667E0,8.441607231E-1,-7.195997070E-1
2.625000000E0,8.437633842E-1,-7.213938327E-1
2.633333333E0,8.440940252E-1,-7.195186322E-1
2.641666667E0,8.437388677E-1,-7.214334280E-1
2.650000000E0,8.440529365E-1,-7.194759417E-1
2.658333333E0,8.437267590E-1,-7.214495526E-1
2.666666667E0,8.440300840E-1,-7.194551974E-1
2.675000000E0,8.431886640E-1,-7.202071138E-1
2.683333333E0,8.436508934E-1,-7.208643705E-1
2.691666667E0,8.436200090E-1,-7.211210462E-1
2.700000000E0,8.438833093E-1,-7.198139627E-1
2.708333333E0,8.436343102E-1,-7.213231089E-1
2.716666667E0,8.438835790E-1,-7.197184557E-1
2.725000000E0,8.436463063E-1,-7.214183134E-1
2.733333333E0,8.438816839E-1,-7.196811572E-1
2.741666667E0,8.436529077E-1,-7.214657773E-1
2.750000000E0,8.438788110E-1,-7.196618248E-1
2.758333333E0,8.443319422E-1,-7.209050084E-1
2.766666667E0,8.439929728E-1,-7.210206149E-1
2.775000000E0,8.442966212E-1,-7.197637737E-1
2.783333333E0,8.439050654E-1,-7.211958402E-1
2.791666667E0,8.441804703E-1,-7.197351058E-1
2.800000000E0,8.440069489E-1,-7.207312527E-1
2.808333333E0,8.441271910E-1,-7.208339358E-1
2.816666667E0,8.438642810E-1,-7.210187000E-1
2.825000000E0,8.442598977E-1,-7.200198428E-1
2.833333333E0,8.438057579E-1,-7.211528684E-1
2.841666667E0,8.442303920E-1,-7.199364704E-1
2.850000000E0,8.437637032E-1,-7.212905430E-1
2.858333333E0,8.442082160E-1,-7.199005840E-1
2.866666667E0,8.441487988E-1,-7.207009788E-1
2.875000000E0,8.442139911E-1,-7.190952836E-1
2.883333333E0,8.445450985E-1,-7.201107483E-1
2.891666667E0,8.447741198E-1,-7.199618221E-1
2.900000000E0,8.441493105E-1,-7.204190170E-1
2.908333333E0,8.450292986E-1,-7.198715944E-1
2.916666667E0,8.439179603E-1,-7.204016202E-1
2.925000000E0,8.443528882E-1,-7.202353589E-1
