masse_A
t,x,y
5.287133333E0,7.939124223E-1,4.128470437E-1
5.353655556E0,7.939516921E-1,4.096438155E-1
5.353755556E0,7.938028101E-1,4.129739043E-1
5.420288889E0,7.937428891E-1,4.095301123E-1
5.420388889E0,7.936660319E-1,4.133585496E-1
5.486922222E0,7.937905545E-1,4.121981630E-1
5.487022222E0,7.935883428E-1,4.103215728E-1
5.553544444E0,7.933247831E-1,4.119985462E-1
5.553644444E0,7.934303786E-1,4.116564775E-1
5.620177778E0,7.932548190E-1,4.115652634E-1
5.620277778E0,7.933056352E-1,4.113966083E-1
5.686811111E0,7.933506396E-1,4.113482823E-1
5.686911111E0,7.932193393E-1,4.096035156E-1
5.753433333E0,7.933678601E-1,4.088337080E-1
5.753533333E0,7.934322597E-1,4.059138730E-1
5.820066667E0,7.932492586E-1,4.045903474E-1
5.820166667E0,7.930909887E-1,4.015083938E-1
5.886688889E0,7.934506052E-1,3.969422819E-1
5.886788889E0,7.933479200E-1,3.924294196E-1
5.953322222E0,7.929531150E-1,3.906578227E-1
5.953422222E0,7.927164044E-1,3.866485145E-1
6.019955556E0,7.913700720E-1,3.784013926E-1
6.020055556E0,7.914443303E-1,3.729038070E-1
6.086577778E0,7.939087405E-1,3.664890026E-1
6.086677778E0,7.915581195E-1,3.595113131E-1
6.153211111E0,7.935106871E-1,3.524995149E-1
6.153311111E0,7.917650234E-1,3.457678671E-1
6.186522222E0,7.936737521E-1,3.372437283E-1
6.253155556E0,7.916142671E-1,3.280945630E-1
6.253255556E0,7.940544118E-1,3.180589392E-1
6.319788889E0,7.917084787E-1,3.089279110E-1
6.319888889E0,7.938945050E-1,2.983331510E-1
6.386411111E0,7.916765184E-1,2.877151781E-1
6.386511111E0,7.935245623E-1,2.766336997E-1
6.453044444E0,7.918338886E-1,2.643339789E-1
6.453144444E0,7.935501654E-1,2.527764016E-1
6.519666667E0,7.923454462E-1,2.403131934E-1
6.519766667E0,7.931741952E-1,2.274980573E-1
6.586300000E0,7.924532684E-1,2.130079703E-1
6.586400000E0,7.932398890E-1,1.993549378E-1
6.652933333E0,7.927243558E-1,1.851939731E-1
6.653033333E0,7.931290794E-1,1.700713565E-1
6.719555556E0,7.924826677E-1,1.543075524E-1
6.719655556E0,7.929363804E-1,1.407761961E-1
6.786188889E0,7.925443635E-1,1.263871317E-1
6.786288889E0,7.931602965E-1,1.116261394E-1
6.852822222E0,7.932603231E-1,9.808906500E-2
6.852922222E0,7.922575394E-1,8.506659248E-2
6.919444444E0,7.934029869E-1,7.184321260E-2
6.919544444E0,7.934552931E-1,5.882597405E-2
6.986077778E0,7.919185497E-1,4.580993400E-2
6.986177778E0,7.931228769E-1,3.440517885E-2
7.052711111E0,7.936051835E-1,2.227046671E-2
7.052811111E0,7.922573439E-1,9.736959411E-3
7.119333333E0,7.933385222E-1,-1.939875212E-3
7.119433333E0,7.934963758E-1,-1.227686452E-2
7.185966667E0,7.934071646E-1,-2.345087616E-2
7.186066667E0,7.926836851E-1,-3.552299099E-2
7.219277778E0,7.929361110E-1,-4.566587734E-2
7.285911111E0,7.919887596E-1,-5.611591709E-2
7.286011111E0,7.932592439E-1,-6.563678712E-2
7.352533333E0,7.931761489E-1,-7.578723691E-2
7.352633333E0,7.919381362E-1,-8.627582031E-2
7.419166667E0,7.929684789E-1,-9.573677674E-2
7.419266667E0,7.927495000E-1,-1.045302251E-1
7.485800000E0,7.927450985E-1,-1.132574379E-1
7.485900000E0,7.923386349E-1,-1.222597009E-1
7.552422222E0,7.926046379E-1,-1.302950180E-1
7.552522222E0,7.922143382E-1,-1.389171725E-1
7.619055556E0,7.910293563E-1,-1.484448203E-1
7.619155556E0,7.909156520E-1,-1.565050842E-1
7.685688889E0,7.919317325E-1,-1.626836517E-1
7.685788889E0,7.909266768E-1,-1.719947642E-1
7.752311111E0,7.912571546E-1,-1.786018651E-1
7.752411111E0,7.911762350E-1,-1.875955847E-1
7.818944444E0,7.915211927E-1,-1.944066973E-1
7.819044444E0,7.912495267E-1,-2.013661164E-1
7.885577778E0,7.907910678E-1,-2.083991935E-1
7.885677778E0,7.904083585E-1,-2.148712064E-1
7.952200000E0,7.897865172E-1,-2.203704411E-1
7.952300000E0,7.899383103E-1,-2.267448695E-1
8.018833333E0,7.912371909E-1,-2.324065308E-1
8.018933333E0,7.906496395E-1,-2.388816062E-1
8.085455556E0,7.898082725E-1,-2.446003480E-1
8.085555556E0,7.907462026E-1,-2.495967686E-1
8.152088889E0,7.902398272E-1,-2.541766730E-1
8.152188889E0,7.900294623E-1,-2.601471561E-1
8.218722222E0,7.908422436E-1,-2.649181349E-1
8.218822222E0,7.902951251E-1,-2.697084281E-1
8.252033333E0,7.914149594E-1,-2.744198829E-1
8.318666667E0,7.912827640E-1,-2.789404379E-1
8.318766667E0,7.898148194E-1,-2.840437236E-1
8.385288889E0,7.912543695E-1,-2.874597515E-1
8.385388889E0,7.899162359E-1,-2.917032127E-1
8.451922222E0,7.909243019E-1,-2.949452400E-1
8.452022222E0,7.903222391E-1,-2.993802563E-1
8.518555556E0,7.908957671E-1,-3.016956987E-1
8.518655556E0,7.900498359E-1,-3.051538389E-1
8.585177778E0,7.905931712E-1,-3.081339198E-1
8.585277778E0,7.911477776E-1,-3.102824348E-1
8.651811111E0,7.911732128E-1,-3.131096777E-1
8.651911111E0,7.902704596E-1,-3.167173726E-1
8.718444444E0,7.905934394E-1,-3.190563027E-1
8.718544444E0,7.904791169E-1,-3.209018200E-1
8.785066667E0,7.903524942E-1,-3.230650463E-1
8.785166667E0,7.900927839E-1,-3.251256815E-1
8.851700000E0,7.895685967E-1,-3.282605425E-1
8.851800000E0,7.899889985E-1,-3.293926606E-1
8.918322222E0,7.897684974E-1,-3.325273072E-1
8.918422222E0,7.896195221E-1,-3.346010923E-1
8.984955556E0,7.899438398E-1,-3.364280188E-1
8.985055556E0,7.900036903E-1,-3.380886399E-1
9.051588889E0,7.897950962E-1,-3.379459417E-1
9.051688889E0,7.891902259E-1,-3.410127114E-1
9.118211111E0,7.892360536E-1,-3.406129965E-1
9.118311111E0,7.884654273E-1,-3.427822488E-1
9.184844444E0,7.888158761E-1,-3.436582847E-1
9.184944444E0,7.888420931E-1,-3.438424895E-1
9.251477778E0,7.891864955E-1,-3.459378022E-1
9.251577778E0,7.897172511E-1,-3.450846288E-1
9.284788889E0,7.901275386E-1,-3.463945929E-1
9.351422222E0,7.901715854E-1,-3.473606440E-1
9.351522222E0,7.900959608E-1,-3.465200495E-1
9.418044444E0,7.896490131E-1,-3.480508066E-1
9.418144444E0,7.900572724E-1,-3.464488696E-1
9.484677778E0,7.896813968E-1,-3.464882085E-1
9.484777778E0,7.886805320E-1,-3.482406752E-1
9.551311111E0,7.894809445E-1,-3.464297158E-1
9.551411111E0,7.891437034E-1,-3.482132449E-1
9.617933333E0,7.899638698E-1,-3.464666665E-1
9.618033333E0,7.895690670E-1,-3.479873308E-1
9.684566667E0,7.903493978E-1,-3.466039664E-1
9.684666667E0,7.898796738E-1,-3.477559077E-1
9.751188889E0,7.904252785E-1,-3.467142972E-1
9.751288889E0,7.897654046E-1,-3.478096704E-1
9.817822222E0,7.903391228E-1,-3.466256741E-1
9.817922222E0,7.896339346E-1,-3.478882296E-1
9.884455556E0,7.900427442E-1,-3.465345073E-1
9.884555556E0,7.895191402E-1,-3.479673772E-1
9.951077778E0,7.901364842E-1,-3.464688125E-1
9.951177778E0,7.896094784E-1,-3.479443186E-1
1.001771111E1,7.903397601E-1,-3.466113844E-1
1.001781111E1,7.900785966E-1,-3.477102231E-1
1.008434444E1,7.899331135E-1,-3.476783663E-1
1.008444444E1,7.905280501E-1,-3.465996033E-1
1.015096667E1,7.899110850E-1,-3.478290852E-1
1.015106667E1,7.895359948E-1,-3.478691111E-1
1.021760000E1,7.901564114E-1,-3.463978557E-1
1.021770000E1,7.895213218E-1,-3.479815475E-1
1.028423333E1,7.899835824E-1,-3.463814683E-1
1.028433333E1,7.893337799E-1,-3.481037411E-1
1.031754444E1,7.896183044E-1,-3.479272170E-1
1.038416667E1,7.902308366E-1,-3.463823635E-1
1.038426667E1,7.895765157E-1,-3.479864657E-1
1.045080000E1,7.903044822E-1,-3.464651849E-1
1.045090000E1,7.898787354E-1,-3.477671081E-1
1.051743333E1,7.898124143E-1,-3.477232273E-1
1.051753333E1,7.902512802E-1,-3.464552110E-1
1.058405556E1,7.895616300E-1,-3.477224314E-1
1.058415556E1,7.900053449E-1,-3.464589790E-1
1.065068889E1,7.893924753E-1,-3.478108404E-1
1.065078889E1,7.899573729E-1,-3.464659730E-1
1.071732222E1,7.894603917E-1,-3.477797806E-1
1.071742222E1,7.894419885E-1,-3.477366937E-1
