masse_A
t,x,y
6.163311111E0,4.360093360E-1,-3.057817681E-1
6.196522222E0,4.352264018E-1,-3.034930453E-1
6.263155556E0,4.359571298E-1,-2.997927839E-1
6.263255556E0,4.354421616E-1,-2.969557670E-1
6.329788889E0,4.353355206E-1,-2.942827216E-1
6.329888889E0,4.347336717E-1,-2.916583277E-1
6.396411111E0,4.348888698E-1,-2.880819363E-1
6.396511111E0,4.338732050E-1,-2.858474178E-1
6.463044444E0,4.347058105E-1,-2.820703554E-1
6.463144444E0,4.347624841E-1,-2.787396990E-1
6.529666667E0,4.340926176E-1,-2.758283786E-1
6.529766667E0,4.346713933E-1,-2.724850267E-1
6.596300000E0,4.337494938E-1,-2.691028556E-1
6.596400000E0,4.341887632E-1,-2.657285745E-1
6.662933333E0,4.336772762E-1,-2.623007165E-1
6.663033333E0,4.346059492E-1,-2.583827636E-1
6.729555556E0,4.340882583E-1,-2.548529696E-1
6.729655556E0,4.341537487E-1,-2.518672469E-1
6.796188889E0,4.340367909E-1,-2.479524553E-1
6.796288889E0,4.338871471E-1,-2.444392390E-1
6.862822222E0,4.341287659E-1,-2.404816346E-1
6.862922222E0,4.339437064E-1,-2.371215233E-1
6.929444444E0,4.339239460E-1,-2.340974658E-1
6.929544444E0,4.339856774E-1,-2.311266518E-1
6.996077778E0,4.340239973E-1,-2.288194744E-1
6.996177778E0,4.346810876E-1,-2.259846778E-1
7.062711111E0,4.357018384E-1,-2.243909185E-1
7.062811111E0,4.364196534E-1,-2.220183379E-1
7.129333333E0,4.356115004E-1,-2.216759145E-1
7.129433333E0,4.358210137E-1,-2.207093445E-1
7.195966667E0,4.372954685E-1,-2.192281668E-1
7.196066667E0,4.369569544E-1,-2.192961841E-1
7.229277778E0,4.374822930E-1,-2.185475924E-1
7.295911111E0,4.372905867E-1,-2.188743418E-1
7.296011111E0,4.369552079E-1,-2.192579697E-1
7.362544444E0,4.375554086E-1,-2.186924659E-1
7.362644444E0,4.372973506E-1,-2.193864636E-1
7.429166667E0,4.384025451E-1,-2.183306668E-1
7.429266667E0,4.381868098E-1,-2.193581041E-1
7.495800000E0,4.388655040E-1,-2.183735030E-1
7.495900000E0,4.385505303E-1,-2.188701117E-1
7.562422222E0,4.386640808E-1,-2.190071170E-1
7.562522222E0,4.384593375E-1,-2.190169548E-1
7.629055556E0,4.389249852E-1,-2.183218900E-1
7.629155556E0,4.381753042E-1,-2.192223227E-1
7.695688889E0,4.385730316E-1,-2.180681366E-1
7.695788889E0,4.374451744E-1,-2.195303301E-1
7.762311111E0,4.377029497E-1,-2.180153453E-1
7.762411111E0,4.376313729E-1,-2.183533365E-1
7.828944444E0,4.368456875E-1,-2.196319722E-1
7.829044444E0,4.372532346E-1,-2.186869934E-1
7.895577778E0,4.368115722E-1,-2.192060593E-1
7.895677778E0,4.369642634E-1,-2.190837852E-1
7.962200000E0,4.372872563E-1,-2.181816111E-1
7.962300000E0,4.369388961E-1,-2.184749939E-1
8.028833333E0,4.358210272E-1,-2.195098734E-1
8.028933333E0,4.357007922E-1,-2.186688744E-1
8.095455556E0,4.356040350E-1,-2.190970436E-1
8.095555556E0,4.360209687E-1,-2.182898138E-1
8.162088889E0,4.353239926E-1,-2.192407566E-1
8.162188889E0,4.358164214E-1,-2.182909299E-1
8.228722222E0,4.353468531E-1,-2.192048881E-1
8.228822222E0,4.358371215E-1,-2.183035330E-1
8.262033333E0,4.353354082E-1,-2.191896555E-1
8.328666667E0,4.356562423E-1,-2.182771392E-1
8.328766667E0,4.352272487E-1,-2.182652738E-1
8.395288889E0,4.343811785E-1,-2.197038265E-1
8.395388889E0,4.346811845E-1,-2.181930266E-1
8.461922222E0,4.347918721E-1,-2.183127585E-1
8.462022222E0,4.341593030E-1,-2.197016866E-1
8.528555556E0,4.344349256E-1,-2.185975545E-1
8.528655556E0,4.342381763E-1,-2.195819467E-1
8.595177778E0,4.346939775E-1,-2.184694314E-1
8.595277778E0,4.347353126E-1,-2.196151306E-1
8.661811111E0,4.358350768E-1,-2.181372328E-1
8.661911111E0,4.355032632E-1,-2.190462362E-1
8.728444444E0,4.361205781E-1,-2.186719229E-1
8.728544444E0,4.356989749E-1,-2.189207371E-1
8.795066667E0,4.358693052E-1,-2.188126533E-1
8.795166667E0,4.354174891E-1,-2.193916298E-1
8.861700000E0,4.359040472E-1,-2.187701990E-1
8.861800000E0,4.356834545E-1,-2.194868269E-1
8.928322222E0,4.362876799E-1,-2.184930683E-1
8.928422222E0,4.364719906E-1,-2.194899465E-1
8.994955556E0,4.373601374E-1,-2.184471304E-1
8.995055556E0,4.372141041E-1,-2.188469095E-1
9.061588889E0,4.369603146E-1,-2.193903188E-1
9.061688889E0,4.373199086E-1,-2.187652514E-1
9.128211111E0,4.371371162E-1,-2.194312476E-1
9.128311111E0,4.372963119E-1,-2.187708822E-1
9.194844444E0,4.373058900E-1,-2.193788267E-1
9.194944444E0,4.377431836E-1,-2.182423805E-1
9.261477778E0,4.374941115E-1,-2.197125784E-1
9.261577778E0,4.383929274E-1,-2.179563139E-1
9.294788889E0,4.377210126E-1,-2.196990201E-1
9.361422222E0,4.384718322E-1,-2.180441912E-1
9.361522222E0,4.376419012E-1,-2.198047677E-1
9.428044444E0,4.383997671E-1,-2.178540440E-1
9.428144444E0,4.374046724E-1,-2.197839341E-1
9.494677778E0,4.377891290E-1,-2.178219415E-1
9.494777778E0,4.376057189E-1,-2.182520080E-1
9.561311111E0,4.366221262E-1,-2.195460378E-1
9.561411111E0,4.371915609E-1,-2.188929103E-1
9.627933333E0,4.373905464E-1,-2.187384410E-1
9.628033333E0,4.375017347E-1,-2.187117145E-1
9.694566667E0,4.375822009E-1,-2.186173164E-1
9.694666667E0,4.375872680E-1,-2.187145125E-1
9.761188889E0,4.376475768E-1,-2.186421233E-1
9.761288889E0,4.375626508E-1,-2.186129084E-1
9.827822222E0,4.374577513E-1,-2.186171045E-1
9.827922222E0,4.374255534E-1,-2.184625553E-1
