Starting...
XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00 GainX = 1 GainTheta = 18
51497,1.05,2.00,-1.15,2.42
51508,1.06,2.00,-1.08,3.03
51518,1.05,2.00,-1.00,3.37
51527,1.06,2.00,-0.90,3.98
51537,1.06,2.00,-0.79,4.30
51548,1.06,2.00,-0.67,4.62
51558,1.04,2.00,-0.55,4.67
51568,1.04,2.00,-0.42,5.00
51577,1.06,2.00,-0.28,5.27
51588,1.06,2.00,-0.14,5.27
51598,1.06,2.00,0.00,5.37
51608,1.06,2.00,0.14,5.22
51617,1.05,2.00,0.28,5.33
51628,1.07,2.00,0.41,4.98
51638,1.05,2.00,0.54,5.03
51648,1.06,2.00,0.65,4.37
51658,1.07,2.00,0.76,4.38
51667,1.08,2.00,0.85,3.72
51678,1.07,2.00,0.94,3.75
51688,1.05,2.00,1.01,3.19
51698,1.05,2.00,1.06,2.55
51707,1.08,2.00,1.10,2.17
51718,1.06,2.00,1.12,1.59
51728,1.08,2.00,1.13,1.24
51738,1.09,2.00,1.12,0.59
51748,1.09,2.00,1.11,0.57
51758,1.08,2.00,1.07,-0.34
51768,1.09,2.00,1.02,-0.68
51778,1.07,2.00,0.96,-0.94
51788,1.09,2.00,0.89,-1.30
51799,1.09,2.00,0.80,-1.94
51808,1.09,2.00,0.72,-1.64
51818,1.09,2.00,0.63,-1.93
51828,1.10,2.00,0.52,-2.60
51838,1.09,2.00,0.42,-2.26
51848,1.10,2.00,0.33,-1.98
51858,1.09,2.00,0.23,-2.28
51868,1.10,2.00,0.14,-1.99
51878,1.08,2.00,0.05,-1.92
51889,1.09,2.00,-0.02,-1.34
51898,1.09,2.00,-0.08,-1.04
51908,1.10,2.00,-0.13,-0.75
51918,1.09,2.00,-0.18,-0.72
51929,1.10,2.00,-0.21,-0.12
51938,1.09,2.00,-0.21,0.84
51948,1.10,2.00,-0.19,1.45
51958,1.09,2.00,-0.16,1.79
51969,1.11,2.00,-0.12,2.07
51979,1.09,2.00,-0.06,2.76
51988,1.10,2.00,0.02,3.35
51998,1.10,2.00,0.11,3.67
