XleadZeroCoefficient: 1.00, XleadPoleCoefficient: 0.41, PX: 0.16, PX: 0.00, PX: 1.00
11458,1.12,2.00,0.47,1.28
11468,1.13,2.00,0.53,1.59
11479,1.13,2.00,0.57,1.27
11489,1.15,2.00,0.61,1.24
11498,1.13,2.00,0.67,1.60
11508,1.14,2.00,0.70,1.11
11518,1.15,2.00,0.73,1.10
11529,1.16,2.00,0.75,0.92
11539,1.16,2.00,0.79,1.26
11548,1.17,2.00,0.79,0.60
11558,1.17,2.00,0.79,0.62
11569,1.19,2.00,0.80,0.72
11579,1.18,2.00,0.78,0.29
11588,1.20,2.00,0.76,0.25
11598,1.19,2.00,0.73,0.12
11609,1.20,2.00,0.70,0.09
11619,1.18,2.00,0.64,-0.32
11629,1.21,2.00,0.59,-0.24
11638,1.21,2.00,0.54,-0.22
11649,1.21,2.00,0.47,-0.55
11659,1.22,2.00,0.41,-0.40
11669,1.22,2.00,0.34,-0.57
11678,1.23,2.00,0.26,-0.74
11688,1.23,2.00,0.19,-0.58
11699,1.24,2.00,0.12,-0.59
11709,1.24,2.00,0.04,-0.74
11719,1.22,2.00,-0.03,-0.53
11728,1.24,2.00,-0.10,-0.58
11739,1.23,2.00,-0.15,-0.24
11749,1.25,2.00,-0.21,-0.45
11759,1.26,2.00,-0.25,-0.15
11769,1.25,2.00,-0.29,-0.11
11779,1.28,2.00,-0.33,-0.18
11789,1.26,2.00,-0.35,0.18
11799,1.27,2.00,-0.36,0.33
11809,1.27,2.00,-0.37,0.32
11819,1.27,2.00,-0.37,0.50
11829,1.29,2.00,-0.35,0.77
11839,1.28,2.00,-0.33,0.79
11849,1.29,2.00,-0.30,0.93
11859,1.30,2.00,-0.27,0.91
11869,1.30,2.00,-0.21,1.40
11879,1.30,2.00,-0.17,1.08
11889,1.31,2.00,-0.11,1.38
11899,1.31,2.00,-0.04,1.54
11909,1.32,2.00,0.03,1.54
11919,1.32,2.00,0.10,1.54
11929,1.32,2.00,0.16,1.39
11939,1.33,2.00,0.24,1.67
11950,1.33,2.00,0.30,1.38
11959,1.33,2.00,0.37,1.53
11969,1.34,2.00,0.44,1.53
11979,1.34,2.00,0.49,1.22
11990,1.34,2.00,0.55,1.37
11999,1.35,2.00,0.60,1.21
12009,1.35,2.00,0.64,1.05
12019,1.35,2.00,0.66,0.75
